# TextGrid to CSV (D. Gibbon, 2008-11-23)
# Open the file with OpenOffice.org Calc or MS-Excel.
FileName	TierType	TierName	Label	Start	End	Duration
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"\" 	8.105 	8.455 	0.34999999999999964
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"n" 	8.455 	8.555 	0.09999999999999964
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"學校" 	8.555 	8.815 	0.2599999999999998
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"裡" 	8.815 	8.95 	0.1349999999999998
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"的" 	8.95 	9.03 	0.08000000000000007
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"同學" 	9.03 	9.645 	0.6150000000000002
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"都" 	9.645 	9.85 	0.20500000000000007
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"叫" 	9.85 	10.05 	0.20000000000000107
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"他" 	10.05 	10.3 	0.25
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"\" 	10.3 	10.405 	0.10499999999999865
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"n" 	10.405 	10.425 	0.02000000000000135
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"矮" 	10.425 	10.515 	0.08999999999999986
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"冬瓜" 	10.515 	11.015 	0.5
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"\" 	11.015 	11.11 	0.09499999999999886
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"n" 	11.11 	11.82 	0.7100000000000009
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"他" 	11.82 	11.965 	0.14499999999999957
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"的" 	11.965 	12.09 	0.125
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"個子" 	12.09 	12.39 	0.3000000000000007
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"很" 	12.39 	12.585 	0.19500000000000028
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"小" 	12.585 	12.845 	0.2599999999999998
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"\" 	12.845 	13.325 	0.47999999999999865
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"n" 	13.325 	13.355 	0.030000000000001137
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"姊姊" 	13.355 	13.63 	0.27500000000000036
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"的" 	13.63 	13.705 	0.07499999999999929
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"朋友" 	13.705 	14.255 	0.5500000000000007
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"都" 	14.255 	14.405 	0.14999999999999858
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"喜歡" 	14.405 	14.875 	0.47000000000000064
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"拍拍" 	14.875 	15.24 	0.3650000000000002
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"他" 	15.24 	15.37 	0.129999999999999
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"的" 	15.37 	15.48 	0.11000000000000121
