phonogram3967index,index,type,zhuyin,tone,stroke,orthographicgroup,phoneticradical,homograph_cnts,homophone_cnts,freq_char,freq_char(log),freq_char_4.0,freq_char_4.0(log),fre_cd,xasbc_cf_million,freq_syllable_4.0,freq_syllable_4.0(log),phoneticcom,FF_friends,FF(type),FF(1500),FF(2000),FF(log),FB_group_code,FB_total,FB_friend,FB_total_freq,FB_freq_friend,FB_freq_enemy,FB(type),FB(token),FB(1500),FB(5000),FB(log),註記,說明
1620,5901,揣,ㄔㄨㄞ,3,12,耑,耑,1,1,161,2.21 ,128,2.10720997,115,7.61 ,128,2.11 ,8,2,0.25,0.043149342,0.033705406,0.226515562,1,1,1,128,128,0,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,
1619,5899,踹,ㄔㄨㄞ,4,16,耑,耑,1,1,10,1.00 ,26,1.414973348,20,1.00 ,26,1.41 ,8,2,0.25,0.043149342,0.033705406,0.226515562,1,1,1,26,26,0,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,
0,5902,吹,ㄔㄨㄟ,1,7,欠,欠,1,2,498,2.70 ,1036,3.015359755,663,79.93 ,1117,3.05 ,9,2,0.222222222,0.171740467,0.141017548,0.207183001,1,2,2,1117,1117,0,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,
0,5903,炊,ㄔㄨㄟ,1,8,欠,欠,1,2,73,1.86 ,81,1.908485019,53,7.18 ,1117,3.05 ,9,2,0.222222222,0.171740467,0.141017548,0.207183001,1,2,2,1117,1117,0,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,
0,5904,垂,ㄔㄨㄟ,2,9,垂,.,1,7,702,2.85 ,666,2.823474229,428,45.49 ,915,2.96 ,.,.,.,.,.,.,1,7,4,915,793,122,0.57 ,0.87 ,0.87 ,0.87 ,0.61 ,,
1800,5905,錘,ㄔㄨㄟ,2,17,垂,垂,1,7,33,1.52 ,49,1.69019608,43,4.16 ,915,2.96 ,6,3,0.5,0.045981173,0.03893317,0.367305035,1,7,4,915,793,122,0.57 ,0.87 ,0.87 ,0.87 ,0.61 ,,
1798,5906,捶,ㄔㄨㄟ,2,12,垂,垂,1,7,13,1.11 ,27,1.431363764,15,1.29 ,915,2.96 ,6,3,0.5,0.045981173,0.03893317,0.367305035,1,7,4,915,793,122,0.57 ,0.87 ,0.87 ,0.87 ,0.61 ,,
1799,5908,陲,ㄔㄨㄟ,2,12,垂,垂,1,7,38,1.58 ,51,1.707570176,34,4.45 ,915,2.96 ,6,3,0.5,0.045981173,0.03893317,0.367305035,1,7,4,915,793,122,0.57 ,0.87 ,0.87 ,0.87 ,0.61 ,,
1280,5909,搥,ㄔㄨㄟ,2,13,追,追,1,7,12,1.08 ,34,1.531478917,27,2.58 ,915,2.96 ,3,3,1,1,1,1,2,7,3,915,122,793,0.43 ,0.13 ,0.13 ,0.13 ,0.39 ,,
1279,5910,鎚,ㄔㄨㄟ,2,18,追,追,1,7,29,1.46 ,47,1.672097858,17,4.16 ,915,2.96 ,3,3,1,1,1,1,2,7,3,915,122,793,0.43 ,0.13 ,0.13 ,0.13 ,0.39 ,,
1278,5911,槌,ㄔㄨㄟ,2,14,追,追,1,7,112,2.05 ,41,1.612783857,26,3.30 ,915,2.96 ,3,3,1,1,1,1,2,7,3,915,122,793,0.43 ,0.13 ,0.13 ,0.13 ,0.39 ,,
0,5915,川,ㄔㄨㄢ,1,3,川,.,1,2,1395,3.14 ,1613,3.207634367,540,139.91 ,4685,3.67 ,.,.,.,.,.,.,2,2,1,4685,1613,3072,0.50 ,0.34 ,0.50 ,0.34 ,0.48 ,,
3554,5914,穿,ㄔㄨㄢ,1,9,牙,牙,1,2,1576,3.20 ,3072,3.487421211,1628,177.08 ,4685,3.67 ,9,1,0.111111111,0.258131131,0.273560388,0.157649597,1,2,1,4685,3072,1613,0.50 ,0.66 ,0.50 ,0.66 ,0.52 ,,
270,5921,船,ㄔㄨㄢ,2,11,,,1,4,6329,3.80 ,2852,3.455149521,728,210.37 ,16255,4.21 ,3,1,0.333333333,0.496195832,0.567697985,0.389355151,2,4,1,16255,2852,13403,0.25 ,0.18 ,0.50 ,0.36 ,0.41 ,,
1486,5922,椽,ㄔㄨㄢ,2,13,彖,彖,1,4,3,0.48 ,8,0.903089987,8,0.43 ,16255,4.21 ,5,1,0.2,0.004836759,0.003881611,0.099764668,3,4,1,16255,8,16247,0.25 ,0.00 ,0.00 ,0.00 ,0.11 ,,
1621,5923,遄,ㄔㄨㄢ,2,13,耑,耑,1,4,3,0.48 ,1,0,1,0.14 ,16255,4.21 ,8,2,0.25,0.101148781,0.079010724,0.164398683,4,4,1,16255,1,16254,0.25 ,0.00 ,0.00 ,0.00 ,0.00 ,b,逸興遄飛
1149,5920,傳,ㄔㄨㄢ,2,13,專,專,2,4,9073,3.96 ,13394,4.126910295,5022,820.83 ,16255,4.21 ,10,1,0.1,0.185459941,0.188893087,0.15365633,1,4,1,16255,13394,2861,0.25 ,0.82 ,0.50 ,0.64 ,0.49 ,,
0,5926,舛,ㄔㄨㄢ,3,6,舛,.,1,2,25,1.40 ,15,1.176091259,15,1.15 ,375,2.57 ,.,.,.,.,.,.,2,2,1,375,15,360,0.50 ,0.04 ,0.04 ,0.04 ,0.32 ,,
